2020-08-06 22:40:37 startup archives install
2020-08-06 22:40:37 install base-passwd:armhf <none> 3.5.44
2020-08-06 22:40:37 status half-installed base-passwd:armhf 3.5.44
2020-08-06 22:40:37 status unpacked base-passwd:armhf 3.5.44
2020-08-06 22:40:37 status unpacked base-passwd:armhf 3.5.44
2020-08-06 22:40:37 configure base-passwd:armhf 3.5.44 3.5.44
2020-08-06 22:40:37 status unpacked base-passwd:armhf 3.5.44
2020-08-06 22:40:37 status half-configured base-passwd:armhf 3.5.44
2020-08-06 22:40:37 status installed base-passwd:armhf 3.5.44
2020-08-06 22:40:37 startup archives install
2020-08-06 22:40:38 install base-files:armhf <none> 10.1ubuntu2
2020-08-06 22:40:38 status half-installed base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 configure base-files:armhf 10.1ubuntu2 10.1ubuntu2
2020-08-06 22:40:38 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:38 status half-configured base-files:armhf 10.1ubuntu2
2020-08-06 22:40:39 status installed base-files:armhf 10.1ubuntu2
2020-08-06 22:40:39 startup archives install
2020-08-06 22:40:39 upgrade dpkg 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-08-06 22:40:39 status half-configured dpkg 1.19.0.5ubuntu2
2020-08-06 22:40:39 status unpacked dpkg 1.19.0.5ubuntu2
2020-08-06 22:40:39 status half-installed dpkg 1.19.0.5ubuntu2
2020-08-06 22:40:41 status half-installed dpkg 1.19.0.5ubuntu2
2020-08-06 22:40:41 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2020-08-06 22:40:41 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2020-08-06 22:40:41 configure dpkg:armhf 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2020-08-06 22:40:41 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2020-08-06 22:40:41 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2020-08-06 22:40:41 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2020-08-06 22:40:41 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2020-08-06 22:40:41 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2020-08-06 22:40:41 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2020-08-06 22:40:41 status half-configured dpkg:armhf 1.19.0.5ubuntu2
2020-08-06 22:40:41 status installed dpkg:armhf 1.19.0.5ubuntu2
2020-08-06 22:40:41 startup archives install
2020-08-06 22:40:41 install libc6:armhf <none> 2.27-3ubuntu1
2020-08-06 22:40:41 status half-installed libc6:armhf 2.27-3ubuntu1
2020-08-06 22:40:44 status unpacked libc6:armhf 2.27-3ubuntu1
2020-08-06 22:40:44 status unpacked libc6:armhf 2.27-3ubuntu1
2020-08-06 22:40:44 configure libc6:armhf 2.27-3ubuntu1 2.27-3ubuntu1
2020-08-06 22:40:44 status unpacked libc6:armhf 2.27-3ubuntu1
2020-08-06 22:40:44 status unpacked libc6:armhf 2.27-3ubuntu1
2020-08-06 22:40:44 status half-configured libc6:armhf 2.27-3ubuntu1
2020-08-06 22:40:45 status installed libc6:armhf 2.27-3ubuntu1
2020-08-06 22:40:45 startup archives install
2020-08-06 22:40:45 install perl-base:armhf <none> 5.26.1-6
2020-08-06 22:40:45 status half-installed perl-base:armhf 5.26.1-6
2020-08-06 22:40:47 status unpacked perl-base:armhf 5.26.1-6
2020-08-06 22:40:47 status unpacked perl-base:armhf 5.26.1-6
2020-08-06 22:40:47 configure perl-base:armhf 5.26.1-6 5.26.1-6
2020-08-06 22:40:47 status unpacked perl-base:armhf 5.26.1-6
2020-08-06 22:40:47 status half-configured perl-base:armhf 5.26.1-6
2020-08-06 22:40:47 status installed perl-base:armhf 5.26.1-6
2020-08-06 22:40:47 startup archives install
2020-08-06 22:40:47 install mawk:armhf <none> 1.3.3-17ubuntu3
2020-08-06 22:40:47 status half-installed mawk:armhf 1.3.3-17ubuntu3
2020-08-06 22:40:47 status unpacked mawk:armhf 1.3.3-17ubuntu3
2020-08-06 22:40:47 status unpacked mawk:armhf 1.3.3-17ubuntu3
2020-08-06 22:40:47 configure mawk:armhf 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2020-08-06 22:40:47 status unpacked mawk:armhf 1.3.3-17ubuntu3
2020-08-06 22:40:47 status half-configured mawk:armhf 1.3.3-17ubuntu3
2020-08-06 22:40:47 status installed mawk:armhf 1.3.3-17ubuntu3
2020-08-06 22:40:48 startup archives unpack
2020-08-06 22:40:48 upgrade base-files:armhf 10.1ubuntu2 10.1ubuntu2
2020-08-06 22:40:48 status half-configured base-files:armhf 10.1ubuntu2
2020-08-06 22:40:48 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:48 status half-installed base-files:armhf 10.1ubuntu2
2020-08-06 22:40:48 status half-installed base-files:armhf 10.1ubuntu2
2020-08-06 22:40:48 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:48 status unpacked base-files:armhf 10.1ubuntu2
2020-08-06 22:40:48 upgrade base-passwd:armhf 3.5.44 3.5.44
2020-08-06 22:40:48 status half-configured base-passwd:armhf 3.5.44
2020-08-06 22:40:48 status unpacked base-passwd:armhf 3.5.44
2020-08-06 22:40:48 status half-installed base-passwd:armhf 3.5.44
2020-08-06 22:40:48 status half-installed base-passwd:armhf 3.5.44
2020-08-06 22:40:48 status unpacked base-passwd:armhf 3.5.44
2020-08-06 22:40:48 status unpacked base-passwd:armhf 3.5.44
2020-08-06 22:40:48 install bash:armhf <none> 4.4.18-2ubuntu1
2020-08-06 22:40:48 status half-installed bash:armhf 4.4.18-2ubuntu1
2020-08-06 22:40:49 status unpacked bash:armhf 4.4.18-2ubuntu1
2020-08-06 22:40:49 status unpacked bash:armhf 4.4.18-2ubuntu1
2020-08-06 22:40:49 install bsdutils:armhf <none> 1:2.31.1-0.4ubuntu3
2020-08-06 22:40:49 status half-installed bsdutils:armhf 1:2.31.1-0.4ubuntu3
2020-08-06 22:40:49 status unpacked bsdutils:armhf 1:2.31.1-0.4ubuntu3
2020-08-06 22:40:49 status unpacked bsdutils:armhf 1:2.31.1-0.4ubuntu3
2020-08-06 22:40:49 install coreutils:armhf <none> 8.28-1ubuntu1
2020-08-06 22:40:49 status half-installed coreutils:armhf 8.28-1ubuntu1
2020-08-06 22:40:50 status unpacked coreutils:armhf 8.28-1ubuntu1
2020-08-06 22:40:50 status unpacked coreutils:armhf 8.28-1ubuntu1
2020-08-06 22:40:50 install dash:armhf <none> 0.5.8-2.10
2020-08-06 22:40:50 status half-installed dash:armhf 0.5.8-2.10
2020-08-06 22:40:51 status unpacked dash:armhf 0.5.8-2.10
2020-08-06 22:40:51 status unpacked dash:armhf 0.5.8-2.10
2020-08-06 22:40:51 install debconf:all <none> 1.5.66
2020-08-06 22:40:51 status half-installed debconf:all 1.5.66
2020-08-06 22:40:51 status unpacked debconf:all 1.5.66
2020-08-06 22:40:51 status unpacked debconf:all 1.5.66
